moai_id,ahu,location_name,longitude,latitude,total_length_cm
391,MAUNGA VEVERA,MAUNGA VEVERA,-109.31153100,-27.10883000,
502,MAUNGA VEVERA,MAUNGA VEVERA,-109.31142600,-27.10889500,
620,MAUNGA VEVERA,MAUNGA VEVERA,-109.31140300,-27.10887100,
621,MAUNGA VEVERA,MAUNGA VEVERA,-109.31146300,-27.10895300,
711,MAUNGA VEVERA,MAUNGA VEVERA,-109.31151400,-27.10883100,
561,MOAI TUUTAHI,MOAI TUU-TAHI,-109.29060100,-27.13748800,547
87,MOTU RAU NUKU,MOTU RAU NUKU,-109.34705500,-27.06014400,
191,MOTU RAU NUKU,MOTU RAU NUKU,-109.34692100,-27.06011300,
192,MOTU RAU NUKU,MOTU RAU NUKU,-109.34703900,-27.06002600,
193,MOTU RAU NUKU,MOTU RAU NUKU,-109.34715800,-27.06001500,
248,MOTU RAU NUKU,MOTU RAU NUKU,-109.34690100,-27.05996300,
255,MOTU RAU NUKU,MOTU RAU NUKU,-109.34699100,-27.06002800,
256,MOTU RAU NUKU,MOTU RAU NUKU,-109.34712300,-27.06002600,
257,MOTU RAU NUKU,MOTU RAU NUKU,-109.34715400,-27.05996500,
258,MOTU RAU NUKU,MOTU RAU NUKU,-109.34721600,-27.05998300,
259,MOTU RAU NUKU,MOTU RAU NUKU,-109.34720100,-27.06003800,
260,MOTU RAU NUKU,MOTU RAU NUKU,-109.34724600,-27.06002400,
261,MOTU RAU NUKU,MOTU RAU NUKU,-109.34744200,-27.06005700,
272,MOTU RAU NUKU,MOTU RAU NUKU,-109.34690700,-27.06004000,
273,MOTU RAU NUKU,MOTU RAU NUKU,-109.34693100,-27.06005200,
274,MOTU RAU NUKU,MOTU RAU NUKU,-109.34694800,-27.06005100,
289,MOTU RAU NUKU,MOTU RAU NUKU,-109.34700900,-27.06012600,
290,MOTU RAU NUKU,MOTU RAU NUKU,-109.34693000,-27.06011200,
279,MOTU TAVAKE,MOTU TAVAKE,-109.39896400,-27.07036800,253
336,O HAE,O HAE,-109.30612200,-27.08108900,218
354,O HAE,O HAE,-109.30912600,-27.08012700,
569,O HAE,O HAE,-109.30910600,-27.08015900,
570,O HAE,O HAE,-109.30940700,-27.08028500,267
736,O HAE,O HAE,-109.30911900,-27.08021800,
917,O KAVA,O KAVA,-109.40814200,-27.15444600,
286,O PARE,O PARE,-109.42074900,-27.12763600,440
1,O URE,O URE,-109.38740900,-27.16655700,
10,O URE,O URE,-109.38737600,-27.16655000,325
11,O URE,O URE,-109.38735600,-27.16654500,
99,O URE,O URE,-109.38737400,-27.16661600,365
60,OROI,OROI,-109.32964300,-27.13658900,
74,OROI,OROI,-109.33148300,-27.14344600,642
77,OROI,OROI,-109.32457600,-27.13893000,462
349,OVAHE,OVAHE,-109.31376300,-27.07685600,
731,OVAHE,OVAHE,-109.31401000,-27.07675400,
732,OVAHE,OVAHE,-109.31399000,-27.07678100,
733,OVAHE,OVAHE,-109.31384000,-27.07683000,
739,OVAHE,OVAHE,-109.31381000,-27.07685200,
